year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,3.750780442,34.50844787,9.115584679,3.750780442,34.4476311,12.76280356,12.92313507
1951,4.187866007,34.59108318,14.79933081,19.57350642,22.05517672,5.44631392,17.33091963
1952,7.379593913,55.31016617,30.71003044,19.52599997,14.48315118,25.43368254,38.53143181
1953,4.281262098,38.51592657,4.815806715,12.86461845,14.42455826,25.94491982,7.588781904
1954,7.391132433,37.55277454,14.15217909,18.74141238,17.92168425,26.17283881,16.63864388
1955,5.499200887,33.81877833,13.39155512,28.28410685,13.34747611,23.63939443,13.23129095
1956,6.978370769,31.09066027,13.70600625,8.343186343,14.16723268,19.81285233,22.94007026
1957,3.664920105,39.68236054,17.8628971,13.92835678,17.92157358,13.72115307,11.38921892
1958,5.094177725,38.38535417,21.89778722,6.610281181,10.87248057,17.637122,19.63012033
1959,4.290834077,42.23243362,9.345827227,11.80607447,8.932608026,17.33348066,15.39131471
1960,5.722756456,42.66131952,12.28632786,14.77126154,31.30771767,6.100427207,28.78200243
1961,8.407735982,25.61649694,7.271504633,15.28312995,15.99905467,21.466194,17.04853337
1962,4.032390681,37.06777593,18.88720554,27.06582872,4.032390681,21.24227011,7.56418273
1963,3.595538569,47.73589162,15.81947712,5.997349128,47.73589162,4.046863442,3.778233698
1964,3.589405517,35.91915223,10.5259763,27.48193855,14.56917428,35.51174841,8.173266597
1965,6.929703704,39.53355825,28.56792027,37.22524825,11.62417967,6.945798306,38.85075881
1966,3.496458334,29.82230715,12.34542161,13.55361723,25.34075379,3.506619496,14.89330648
1967,5.800595074,30.25437988,22.88335829,22.2487091,15.46371377,28.86330838,13.41619397
1968,4.333846663,27.85857777,8.885224437,17.29129375,21.5526517,18.83983181,5.485767173
1969,5.405945942,37.83144233,28.30723263,37.79804946,18.90101666,15.63257525,13.45342389
1970,3.937605656,35.93548461,19.63580408,12.81920741,9.573542113,22.69712146,12.34783718
1971,3.977238816,40.26772305,10.9385916,3.990702352,19.0421968,13.78106311,23.591891
1972,4.215121057,35.21499975,5.974881375,16.15236525,21.33926751,9.959682768,7.646387015
1973,5.617492022,31.50378572,19.34627385,14.12309742,14.87999427,17.81790453,18.79298659
1974,4.787450267,39.17763244,18.61682307,33.20462334,19.4813248,5.688363269,29.4586282
1975,3.426755269,37.97825723,11.70213561,8.902732045,20.12474432,7.477616081,23.12650669
1976,5.381770543,33.50721501,11.45746783,16.27262118,29.15247286,17.39323361,25.37283046
1977,3.631957722,33.96285379,18.75587186,19.77230546,25.10954881,15.55766258,5.44302454
1978,7.072876341,37.7534842,37.83509317,10.43151082,14.44317436,15.01006527,9.668707103
1979,7.068283875,42.24845479,19.94522443,10.59423173,16.80718019,19.40165932,16.1928942
1980,5.331691165,44.90812889,30.32371964,6.082822754,20.51063447,22.07952224,24.71622328
1981,2.544340102,35.4565453,13.99525931,14.92165293,21.01679019,28.25049488,22.09626627
1982,5.093816375,35.89038864,19.05863228,23.91970863,9.550170944,5.093816375,7.970035282
1983,2.370479032,49.36921628,41.18248156,15.14686523,20.05309843,8.166874015,14.83203798
1984,6.094175781,40.88325068,8.712627218,17.00221868,6.096475469,16.38877252,10.12344054
1985,5.625270537,41.17596175,9.83105538,41.17596175,25.14953175,10.91381744,32.82618791
1986,4.561134462,35.16434283,18.96632966,8.593375237,10.78328231,10.48418379,32.38369038
1987,2.340487858,39.45429248,11.55146113,18.47225025,15.95459669,22.85293839,25.93884242
1988,5.652606517,37.51957906,13.21154336,11.79809187,5.83253918,24.43935552,9.215810899
1989,6.829453899,33.91881249,5.554861635,18.92865173,12.59461393,29.44829822,12.67456737
1990,4.109832475,28.24567093,8.067608067,19.47096997,15.85283374,26.98232844,6.296862068
1991,4.804374258,34.84787375,18.15167269,20.27651865,22.64945541,6.963980781,8.272837603
1992,6.258856932,28.57767437,28.7137696,17.82183974,15.36345899,14.65861805,22.23791064
1993,7.222023627,48.28473555,28.80312108,13.69081241,19.17799064,19.39548706,48.28473555
1994,4.95602329,35.2006807,10.65058835,18.42656141,16.71559931,22.65369671,8.988624539
1995,5.489471082,32.95678064,30.84990235,14.1243881,31.88791008,31.96957653,9.717917936
1996,6.285535624,34.38203228,20.26036949,14.10258288,20.26869142,27.33639722,11.29556469
1997,7.365411942,45.39595027,13.02897875,45.39595027,18.04741007,18.35325562,12.7773037
1998,3.452508793,42.39909091,32.75454002,9.172087811,24.49585679,28.61927109,23.42050908
1999,3.389267871,37.47354716,8.705287887,9.616982697,3.54502381,14.47921183,12.91872211
2000,6.206279129,38.95421905,14.59103114,7.945914351,13.58927505,25.69725254,10.94828712
2001,5.400959349,33.82728805,20.7455784,10.28342444,17.38634671,14.46849003,5.534450762
2002,7.362400327,37.29979169,6.782572569,13.93698502,15.63764653,12.33925523,16.54400851
2003,6.253973109,33.85184375,14.99463983,18.37156117,10.88841366,12.64316529,22.56034523
2004,4.101905472,40.27077599,20.40395371,16.99227483,5.394968612,5.229936467,17.86405868
2005,5.389915179,48.67406331,29.50134564,30.2986335,7.129294318,14.37500641,32.24481379
2006,3.245219818,39.05622921,14.10412618,15.51595086,12.51963352,5.37718449,3.275629355
2007,3.430609815,44.2523353,,4.28793824,17.02719587,24.01691521,11.54691823
2008,3.929365606,32.40760901,,15.06776107,30.48075593,10.97615418,10.55471096
2009,5.470599195,36.85172261,,13.13947517,26.98323634,31.27229389,29.87388253
2010,3.45313944,48.15940721,,13.57898145,10.91540734,8.629291894,28.62973882
2011,3.314533902,33.53473777,,21.11294437,29.86228108,17.27625362,12.89881307
2012,4.634441474,35.20782095,,7.443354298,16.70862461,10.63012329,9.681321505
2013,3.742186335,34.33372803,,8.707160264,30.73596154,13.71450431,16.32679325
2014,4.691753983,59.56184803,,8.140832834,51.55704899,27.62797248,15.30842868
2015,3.738270834,39.95544781,,25.59512783,8.388667652,25.75231563,33.57905461
2016,3.60831919,38.1175716,,38.03162551,20.39089604,26.51191071,18.87732002
2017,1.75603398,43.75796875,,12.22605566,27.92375677,31.228763,6.174681385
2018,4.789633587,50.87990011,,6.688686502,38.73811372,21.32471799,5.143289168
2019,2.959278526,31.38142491,,12.41950679,6.202444051,28.01324637,11.46502029
2020,6.645872542,30.9845864,,16.453471,20.48652781,11.00770909,20.13570956
2021,3.131925716,38.66387067,,11.91032055,14.16429764,5.59756492,23.33910685
2022,6.375270748,43.58885882,,43.58885882,12.09690271,13.29924884,13.31021567
2023,2.697717628,39.83438786,,23.36448917,18.1248499,22.93187216,6.791743486
2024,1.743147431,47.67871759,,18.65336916,24.22901949,14.13327161,10.71759118
2025,5.274109402,47.09818814,,12.6762736,30.04047207,14.34405262,27.63473415
2026,2.121106214,46.46524993,,21.91758066,20.38081894,7.403509657,16.84961804
2027,4.551056593,32.35223519,,20.45441385,27.9286101,6.325469929,22.16327111
2028,4.915232356,38.65974402,,19.9683307,8.609634635,19.10068997,15.10287936
2029,4.118154183,43.86615578,,29.23665334,10.09500057,18.73906135,8.958844554
2030,5.196393493,35.08256345,,15.37009463,18.0049474,12.61167622,5.293848493
2031,2.256994911,27.14056864,,8.927867588,20.48676785,18.79178625,17.27118574
2032,4.580884804,32.07573865,,20.71128486,27.44299198,19.66353366,27.86762258
2033,6.392105534,54.34922843,,14.15232918,17.36998339,30.66507449,24.20816211
2034,2.736352878,32.34264599,,8.538891614,16.81565939,2.736352878,12.20244056
2035,6.351606557,31.56967037,,26.77588469,27.42843947,24.04796613,8.779277584
2036,3.62393447,35.83621575,,16.42161601,26.17744512,12.29003324,15.77978531
2037,5.165623153,43.32509883,,27.91312417,29.87127179,15.68683364,15.1426612
2038,5.128709973,47.03448283,,5.569270375,22.51414714,29.2774764,29.27357838
2039,6.421297212,50.44012844,,15.11778593,21.42728153,7.596791939,13.00187911
2040,2.929128268,34.03717899,,25.94087597,11.3608712,9.636511868,8.105580533
2041,3.29425505,30.46118724,,6.714882954,13.12893065,27.44606411,5.472490078
2042,4.013381882,35.9257712,,16.84042402,17.82025553,28.83998575,22.98837766
2043,6.126691221,44.49162766,,11.12289448,15.41637291,22.19125058,25.44710471
2044,2.414309667,57.93790845,,14.76760195,57.93790845,13.30013882,17.75902766
2045,3.644847076,30.11786787,,22.0119236,27.1306813,16.69221909,7.500151656
2046,3.686174603,35.62191983,,31.3051267,13.98676383,35.02879519,9.11594143
2047,4.833734201,35.68440108,,25.75046599,32.51652341,14.87191252,23.4243868
2048,4.183322941,34.24740635,,25.81808253,15.88687712,8.506731796,34.2288638
2049,3.850207902,34.93921073,,10.94109904,22.36576716,30.66932484,13.17440377
2050,3.808373938,39.09189858,,11.92492456,30.11014637,28.02270009,6.117589252
2051,5.555326937,35.85011889,,8.895748464,21.09539652,8.757985857,5.633493439
2052,5.435108638,42.98157472,,31.88780175,7.145096286,22.51720374,17.88233288
2053,4.197049262,49.72764442,,12.21095254,20.21361963,28.75694165,17.33044875
2054,2.998886282,44.18587924,,15.49541734,33.47687498,16.24037282,32.34597486
2055,4.235057515,39.53957017,,11.25366562,31.56039959,12.34642791,24.43605176
2056,3.120129431,37.62453875,,19.10899652,18.13511319,9.605303414,5.610393211
2057,3.549816151,35.5039765,,16.9628571,10.42477851,14.81801552,5.770842757
2058,3.636637167,36.86257655,,9.639132065,13.49250006,4.595102968,5.101520941
2059,4.45334664,32.82077,,32.39453526,28.55190491,7.281286049,15.28110303
2060,7.278174362,32.60869416,,31.61153642,30.64281297,20.4760948,15.79670753
2061,5.57067964,50.03736765,,6.715288323,19.65377945,10.43741094,9.24525363
2062,1.413575322,38.13950791,,14.1925086,12.49225928,10.90442694,7.717701146
2063,3.22836076,40.39719782,,4.37102611,24.64434065,10.00079655,4.973346446
2064,4.725415532,43.83040573,,9.457913641,12.14506258,24.00065492,12.60078503
2065,3.384234156,34.41896279,,14.70363482,8.896913252,25.98274371,14.31739882
2066,3.919696164,32.59273807,,17.78272412,9.320509002,6.185100565,25.71187195
2067,5.01198958,45.9661859,,23.27474662,26.7794733,20.80613449,9.165552559
2068,3.475211395,38.51625899,,17.78611342,12.64620274,8.265962905,13.10670237
2069,3.953365407,42.26332872,,31.93391847,7.04704405,19.15342814,7.848473966
2070,7.684760516,30.41983573,,29.1202367,23.61844993,14.59288677,15.58106313
2071,5.989970872,32.60849954,,23.76752323,8.804785245,24.85308572,21.82965614
2072,4.696437995,36.10115587,,7.253468703,18.8619728,4.82608354,10.34035073
2073,4.385936689,35.4866409,,29.51177993,30.78512492,20.11079409,17.95824681
2074,2.630873718,38.94677297,,16.88160956,38.46895611,29.71754168,20.86806017
2075,2.557607998,42.22998097,,21.64616009,14.57549361,15.55836156,6.101583893
2076,2.333528672,50.86174885,,13.50594457,13.11636089,22.20742006,7.253731418
2077,3.56038666,39.73742064,,27.04036063,26.48757119,19.60576334,13.47695201
2078,4.570496165,42.54887789,,21.67954847,17.25440914,18.66689267,4.570496165
2079,4.856039388,30.95491015,,24.43999043,18.47984302,13.16564454,8.342349845
2080,3.908896433,49.70760448,,49.70760448,13.81495263,14.82771236,11.31524744
2081,3.933500975,34.86467634,,18.43926725,18.45720696,11.14752022,4.797599603
2082,5.538744549,40.0622617,,17.29900374,16.11491801,11.76047827,10.38857164
2083,5.208763379,33.5783229,,15.62441561,13.77772402,5.208763379,10.19579805
2084,6.504973083,38.47917843,,23.58002811,23.38643427,29.49618709,35.6064336
2085,4.327878,39.89201804,,9.217730915,24.48211209,4.376511513,9.007343966
2086,4.229543606,43.40136091,,26.46752554,4.262778389,14.20923217,5.148501587
2087,3.071945376,36.2412511,,10.52078475,23.78735886,17.56149116,10.67433536
2088,2.270166167,44.40166014,,41.16493068,30.0501196,43.38357748,6.887671247
2089,5.756565636,44.11326224,,17.97912018,8.651937005,19.70816653,44.11326224
2090,1.280128986,42.07352719,,13.62600838,11.3446695,34.44509263,8.743172916
2091,1.759532541,55.21879859,,6.840988739,19.50167311,17.54648287,10.23937186
2092,4.456674323,33.0744273,,5.5054579,11.55524637,7.24335217,14.93842187
2093,3.773078328,33.99959363,,32.79844784,26.2012361,5.166857401,6.269975658
2094,3.259774157,38.24948807,,17.00694921,7.461322773,8.029126665,10.15479093
2095,3.011061952,36.75959972,,8.314816399,30.77446747,12.38300745,8.186061481
2096,6.713905647,41.31833922,,11.80661697,12.53926153,9.461196185,22.53198026
2097,3.874971692,36.85894728,,17.46410952,16.61986069,19.80162869,18.1277023
2098,4.235514276,46.9172306,,24.61585981,39.18821084,9.375633492,23.02669839
2099,5.350125324,64.26057034,,11.67171925,11.56173004,28.83779283,20.81575984
2100,7.062457161,50.26658751,,17.57144058,11.68032719,,
