year_month,value
1991-02,11.3860058775
1991-03,12.587850396
1992-02,14.875626371
1992-03,14.255384962818182
1993-02,17.202040004
1993-03,13.970683875454545
1994-02,14.092698572
1994-03,14.174041919090909
1995-02,11.0280957203
1995-03,14.723108116454545
1996-02,19.707409000000002
1996-03,15.821240422727271
1997-02,19.573192786
1997-03,14.702772311818181
1998-02,18.678418349
1998-03,15.861912032727274
1999-02,15.233536146
1999-03,16.22795590181818
2000-02,17.761274336
2000-03,16.899036926363635
2001-02,16.709914204999997
2001-03,16.45164975090909
2002-02,13.734788796999998
2002-03,17.407431513636364
2003-02,16.240157602
2003-03,13.54363233181818
2004-02,17.761274241000002
2004-03,14.174041659090909
2005-02,17.313887405
2005-03,12.791208355454545
2006-02,16.419112395
2006-03,19.461345933636363
2007-02,20.512706184000002
2007-03,14.560421856363638
2008-02,14.875626468000002
2008-03,14.052027094545453
2009-02,13.0413385382
2009-03,15.597546662727273
2010-02,17.515211391
2010-03,19.380002888181817
2011-02,16.35200424
2011-03,16.777022447272728
2012-02,16.016464137
2012-03,15.94325525
2013-02,16.463851354
2013-03,15.068816357272727
2014-02,13.332140254999999
2014-03,13.828333332727272
2015-02,15.792770386
2015-03,13.604639746363636
2016-02,12.303149318100001
2016-03,19.685039087272727
2017-02,16.48622074
2017-03,15.31284574909091
2018-02,18.678418445
2018-03,14.763779638181818
2019-02,16.083572006
2019-03,18.424220516363636
2020-02,13.958482455
2020-03,16.12627705363636
